"Name","Number","Version","Owner","Function","Sub-function","Functional organization","Infineon location","Container","Release date","Follow-up date","Document Type","Domain","Reviewed by","Approved by","Language","Legacy document number"
"OJTI for Dip and Look Solderability Test (Skill Level 3)(TWI)","Z8F46860296","C.7","gohteing","Quality Management","Incoming Inspection","BE","Singapore, Kallang Way","cDtC_BE","2021-10-12T10:00:00+05:30","2027-09-15T07:15:16+05:30","Production: Procedure","Production Document","","","English","A5D00005757"
"OJTI for Operating the Steam Ager. (Skill Level 3)","Z8F46860356","C.5","gohteing","Quality Management","Incoming Inspection","BE","Singapore, Kallang Way","cDtC_BE","2026-07-02T01:05:16+05:30","2028-07-02T01:05:16+05:30","Production: Procedure","Production Document","Hew Pow Teck (BE QM MP SIN QE QT)","Wong Fook San (BE QM MP SIN QE)","English","A5D00006089"
"OJTI for Incoming Inspection of Integrated Circuits. (Skill Level 3)(TWI)","Z8F46859904","H.4","gohteing","Quality Management","Incoming Inspection","BE","Singapore, Kallang Way","cDtC_BE","2024-05-17T10:00:00+05:30","2028-05-17T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001945"
"OJTI for Preventive Maintenance on Steam ager (Skill Level 5)","Z8F46860684","B.4","gohteing","Quality Management","Incoming Inspection","BE","Singapore, Kallang Way","cDtC_BE","2024-11-12T11:00:00+05:30","2028-06-03T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007424"
"OJTI for Working Procedure for Yamato DH411 Oven (Skill Level 3)","Z8F46861016","B.5","gohteing","Quality Management","Incoming Inspection","BE","Singapore, Kallang Way","cDtC_BE","2024-07-02T10:00:00+05:30","2028-07-02T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00008804"
"OJTI for Calibration of Steam Ager. (Skill Level 3)","Z8F46860680","B.4","gohteing","Quality Management","Incoming Inspection","BE","Singapore, Kallang Way","cDtC_BE","2024-12-16T11:00:00+05:30","2028-06-04T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007379"
"OJTI for Preventive Maintenance and Calibration on Solder Pots. (Skill Level 5)","Z8F46860656","B.6","gohteing","Quality Management","Incoming Inspection","BE","Singapore, Kallang Way","cDtC_BE","2024-09-03T10:00:00+05:30","2028-05-18T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007255"
"OJTI for Setup of M850I Mirae Autoloader. (Skill Level 4)(TWI)","Z8F46859969","E.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-30T10:00:00+05:30","2027-12-30T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003093"
"OJTI for Line Maintenance of M850I Burn-in Loader/Sorter. (Skill Level 4)(TWI)","Z8F46860000","E.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-27T10:00:00+05:30","2028-05-02T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003412"
"OJTI for Preventive Maintenance of IBIS Gen2 Oven. (Skill Level 5)","Z8F46861684","H.4","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2022-10-11T10:00:00+05:30","2026-10-11T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050728"
"OJTI for IBIS Tray Devices on Complete Test & Burn-in Lot Reject Handling Procedure. (Skill Level 2)(TWI)","Z8F46859970","E.5","aznin","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-23T10:00:00+05:30","2028-02-16T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003096"
"OJTI for Setup of MGT (MB8I) Mirae Autoloader. (Skill Level 4)(TWI)","Z8F46860382","D.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-23T10:00:00+05:30","2028-02-19T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006211"
"OJTI for Preventive Maintenance of IBIS Gen 3 Oven. (Skill Level 5)(TWI)","Z8F46860429","C.4","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2022-11-24T11:00:00+05:30","2026-11-24T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006422"
"OJTI for Basic Operation of IBIS Gen 3 Oven. (Skill level 2)(TWI)","Z8F46860259","C.4","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-08-05T10:00:00+05:30","2028-01-03T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005544"
"OJTI for Line Maintenance of IBIS Gen 3 Oven. (Skill Level 4)(TWI)","Z8F46860269","D.5","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-02T10:00:00+05:30","2027-12-04T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005572"
"OJTI for Preventive Maintenance of Mirae M850I Burn-in Loader/Sorter. (Skill Level 5)","Z8F46859978","H.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-02T10:00:00+05:30","2027-09-22T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003220"
"OJTI AM for M850I Mirae Autoloader. (Skill Level 4)(TWI)","Z8F46860169","D.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-02T10:00:00+05:30","2028-02-24T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00004668"
"OJTI for Preventive Maintenance of IBIS Gen 32 Oven. (Skill Level 5)","Z8F46860803","C.4","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2023-08-22T10:00:00+05:30","2027-08-22T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007995"
"OJTI for Line Maintenance of MB8i Burn-in Loader/Sorter. (Skill Level 4)(TWI)","Z8F46860505","C.6","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-04T10:00:00+05:30","2027-10-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006670"
"OJTI for Preventive Maintenance of IBIS Burn In Board. (Skill Level 5)","Z8F46861685","N.4","fabros","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-24T10:00:00+05:30","2028-07-10T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050729"
"OJTI for Feed-through Card (FTC) Maintenance (Skill Level 4)(TWI)","Z8F46861143","A.8","fabros","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2023-12-21T11:00:00+05:30","2027-12-21T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009128"
"OJTI for Burn-In Board Trolley Handling. (Skill Level 2)(TWI)","Z8F46859874","H.5","fabros","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2025-04-25T10:00:00+05:30","2027-10-15T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001654"
"OJTI for Line Maintenance of IBIS Oven.(Skill Level 4)(TWI)","Z8F46861641","E.4","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2023-10-24T10:00:00+05:30","2027-10-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050532"
"OJTI for Setup of IBIS Oven.(Skill Level 4)(TWI)","Z8F46861712","F.5","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2026-01-05T01:04:15+05:30","2028-01-05T01:04:15+05:30","Production: Procedure","Production Document","Arandia Mark Davis (BE QM MP SIN QE), Ker Derick (BE SIN OP P FT T), Huang Niam Cheong (BE FM SIN ESH)","Mohammad Pervez So Mohommad Haron (BE SIN OP E BM)","English","A5D00050899"
"OJTI for Gen 3 IBIS Process. (Skill Level 3)(TWI)","Z8F46860272","U.4","aznin","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2026-01-22T09:44:08+05:30","2028-01-22T09:44:08+05:30","Production: Procedure","Production Document","Mohammad Pervez So Mohommad Haron (BE SIN OP E BM), Mohd Tahar Yusof (BE SIN OP P BI)","Huang Niam Cheong (BE FM SIN ESH), Wong Chee Peng (BE SIN OP APE)","English","A5D00005595"
"OJTI for IBIS Equipment Safe Release (ESR). (Skill Level 3)(TWI)","Z8F46860675","D.4","aznin","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-23T10:00:00+05:30","2028-02-22T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007363"
"OJTI for NICA Preventive Maintenance Checklist Execution. (Skill Level 5)(TWI)","Z8F46860862","B.4","aznin","Production","Packing, Intelligent Burn In System (IBIS), Testing","BE","Singapore, Kallang Way","cDtC_BE","2026-04-08T07:28:10+05:30","2028-04-08T07:28:10+05:30","Production: Procedure","Production Document","Xie Bo (BE SIN OP E TH)","Mohammad Pervez So Mohommad Haron (BE SIN OP E BM), Ngu Linus (BE SIN OP E T)","English","A5D00008316"
"OJTI for Line Maintenance for Automated BiBs Storage System (ABSS). (Skill Level 4)(TWI)","Z8F46860240","C.7","limtec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2022-05-06T10:00:00+05:30","2028-04-15T09:20:43+05:30","Production: Procedure","Production Document","","","English","A5D00005398"
"OJTI for Opcenter Transactions at IBIS Operation. (Skill Level 2)(TWI)","Z8F46859879","N.5","aznin","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2026-04-06T01:36:53+05:30","2028-04-06T01:36:53+05:30","Production: Procedure","Production Document","Mohammad Pervez So Mohommad Haron (BE SIN OP E BM)","Myint Tun Linn (BE SIN OP APE UP), Arandia Mark Davis (BE QM MP SIN QE)","English","A5D00001695"
"OJTI for IBIS BiB Auto Trolley Maintenance (Skill Level4)(TWI)","Z8F46860375","C.4","fabros","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2026-07-21T06:17:59+05:30","2028-07-21T06:17:59+05:30","Production: Procedure","Production Document","Arandia Mark Davis (BE QM MP SIN QE), Huang Niam Cheong (BE SIN FM ESH), Mohd Tahar Yusof (BE SIN TM P BI)","Mohammad Pervez So Mohommad Haron (BE SIN TE BM)","English","A5D00006183"
"OJTI for Basic Operation of M850I Mirae Autoloader. (Skill Level 2)(TWI)","Z8F46859950","E.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-01T10:00:00+05:30","2028-02-29T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002826"
"OJTI for Basic Operation of IBIS Oven.(Skill Level 2)(TWI)","Z8F46861657","F.4","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-23T10:00:00+05:30","2028-03-20T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050608"
"OJTI for Line Maintenance of IBIS Gen 32 Oven. (Skill Level 4)(TWI)","Z8F46860658","C.5","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-04T10:00:00+05:30","2028-03-13T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007268"
"OJTI for Inteligent Burn-in System (IBIS). (Skill Level 3)(TWI)","Z8F46861656","Y.5","aznin","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2025-07-11T10:00:00+05:30","2027-11-02T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050607"
"OJTI for Preventive Maintenance of MGT (MB8I) Mirae Autoloader. (Skill Level 5)","Z8F46860464","C.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-23T10:00:00+05:30","2027-09-14T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006545"
"OJTI AM for MGT (MB8I) Mirae Autoloader. (Skill Level 4)(TWI)","Z8F46860386","C.5","anggheec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-02T10:00:00+05:30","2028-07-15T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006235"
"OJTI for Opcenter Burn-in Board Management System and IBIS Utilities Updating Procedure. (Skill Level 2)(TWI)","Z8F46860048","D.6","fabros","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-16T10:00:00+05:30","2028-05-02T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003859"
"OJTI for Basic Operation of IBIS Gen 32 Oven. (Skill Level 2)(TWI)","Z8F46860654","C.5","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-09-03T10:00:00+05:30","2027-12-25T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007249"
"OJTI on Operating Procedures for Automated BiBs Storage System (ABSS). (Skill Level 2)(TWI)","Z8F46860241","C.5","limtec","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE","2024-10-17T10:00:00+05:30","2027-11-21T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005405"
"Machinery FMEA for Gen2 Burn In-Oven-IBIS","Z8F46861782","R.7","picartre","Production","Intelligent Burn In System (IBIS)","BE","Singapore, Kallang Way","cDtC_BE_FMEA_CP_ProcessFlow","2025-09-30T09:43:16+05:30","2026-09-30T09:43:21+05:30","Production: Specification","Production Document","Lim Sue Wei (BE QM MP SIN QMS), Arandia Mark Davis (BE QM MP SIN QE)","Mohammad Pervez So Mohommad Haron (BE SIN OP E BI)","English","A5D00051279"
"OJTI for Opcenter Transaction at MSP Operation. (Skill Level 2)(TWI)","Z8F46859881","N.4","yun","Production","Optical inspection (OPT), Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-03-18T01:25:12+05:30","2028-03-18T01:25:12+05:30","Production: Procedure","Production Document","Too Jeremy (BE QM MP SIN QE), Mohd Tahar Yusof (BE SIN OP P BI), Myint Tun Linn (BE SIN OP APE UP)","Too Jeremy (BE QM MP SIN QE), Myint Tun Linn (BE SIN OP APE UP)","English","A5D00001697"
"OJTI for Line Maintenance for Digital Packing Line (DPL). (Skill Level 4)(TWI)","Z8F46860433","L.5","behw","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-03-27T11:00:00+05:30","2028-05-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006437"
"OJTI on Operating Procedures for Digital Packing Line (DPL). (Skill Level 2)(TWI)","Z8F46860434","D.5","behw","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2023-08-01T10:00:00+05:30","2027-08-01T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006448"
"OJTI on Preventive Maintenance for McDry Cabinet. (Skill Level 5)","Z8F46859924","G.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-16T10:00:00+05:30","2028-05-11T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002273"
"OJTI on Line Maintenance for Despatch Baking Oven. (Skill Level 4)(TWI)","Z8F46860070","D.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-20T10:00:00+05:30","2028-04-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003979"
"IWI for Track-in Automation at MSP.","Z8F46860214","F.5","laichang","Production","Packing","BE,BE TTI","Singapore, Kallang Way","cDtC_BE","2024-09-20T10:00:00+05:30","2026-09-20T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005234"
"OJTI for Line Maintenance of TTM32 Tube Transfer Machine (Skill Level 4)(TWI)","Z8F46860772","D.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-30T10:00:00+05:30","2027-09-21T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007884"
"OJTI for Operating Procedure for McDry Cabinet MCU 501SE. (Skill Level 2)(TWI)","Z8F46859923","G.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-07-28T10:00:00+05:30","2027-12-07T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002272"
"OJTI for Setup Procedures for KLR Lead Recondition Machine. (Skill Level 4)(TWI)","Z8F46861714","F.5","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2022-10-26T10:00:00+05:30","2026-10-26T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050903"
"OJTI for MSP Vision Verification. (Skill Level 5)(TWI)","Z8F46860717","B.6","guochang","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-27T10:00:00+05:30","2027-12-05T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007655"
"OJTI for Preventive Maintenance on MVH Tape and Reel Machine. (Skill Level 5)","Z8F46860632","C.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-28T11:00:00+05:30","2028-04-06T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007183"
"OJTI on Operating Procedures for KLA Machine. (Skill Level 2)(TWI)","Z8F46859961","L.5","guochang","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-10-30T03:28:26+05:30","2027-10-30T03:28:26+05:30","Production: Procedure","Production Document","Sim Lee Wee (BE SIN OP P),Huang Niam Cheong (BE FM SIN ESH),Too Jeremy (BE QM MP SIN CQE)","Wong Chee Peng (BE SIN OP APE)","English","A5D00002989"
"OJTI for Operating Procedure on Manual Handling in MSP. (Skill Level 2)(TWI)","Z8F46861661","G.5","seekuoki","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-05-20T10:00:00+05:30","2027-12-29T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050633"
"OJTI on Setup for TTM32 Tube Transfer Machine. (Skill Level 4)(TWI)","Z8F46860238","C.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-30T10:00:00+05:30","2027-12-02T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005388"
"OJTI AM for ETM Tray Transfer Machine. (Skill Level 4)(TWI)","Z8F46860198","C.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-04-18T10:00:00+05:30","2028-04-18T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00004955"
"OJTI for Operating Procedures for KLR Lead Recondition Machine. (Skill Level 2)(TWI)","Z8F46860768","B.5","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-07-28T10:00:00+05:30","2027-09-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007867"
"OJTI on Line Maintenance for SRM Tape & Reel Machine. (Skill Level 4)(TWI)","Z8F46859898","F.9","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-07-24T10:00:00+05:30","2028-07-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001891"
"OJTI on Setup Procedure for ISMECA NY-32 Tape & Reel Machine (Skill Level 4)(TWI)","Z8F46861000","A.11","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2023-11-10T11:00:00+05:30","2027-11-10T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00008774"
"OJTI On Setup Procedures For SRM Tape & Reel Machine. (Skill Level 4)(TWI)","Z8F46859897","K.8","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-28T11:00:00+05:30","2027-11-16T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001888"
"OJTI on PM Procedure for ISMECA NY-32 Tape and Reel Machine. (Skill Level 5)","Z8F46860636","K.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-06-16T10:00:00+05:30","2028-02-24T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007194"
"OJTI for Preventive Maintenance on KLR FP550 Machine.(Skill Level 5)","Z8F46861690","G.3","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-01-13T04:30:39+05:30","2028-01-13T04:30:39+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE FM SIN ESH)","Mohammad Pervez So Mohommad Haron (BE SIN OP E BM)","English","A5D00050758"
"OJTI on Setup Procedures For KLA-T640/T680/T790 Machine. (Skill Level 4)(TWI)","Z8F46859989","L.4","guochang","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-04-30T05:50:28+05:30","2028-04-30T05:50:28+05:30","Production: Procedure","Production Document","Too Jeremy (BE QM MP SIN QE), Mohd Tahar Yusof (BE SIN OP P BI), Huang Niam Cheong (BE SIN FM ESH)","Mohammad Pervez So Mohommad Haron (BE SIN OP E BM)","English","A5D00003325"
"OJTI on Setup Procedure for Strapping Machine.(Skill Level 4)(TWI)","Z8F46861713","G.5","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2026-05-29T08:20:40+05:30","2028-05-29T08:20:40+05:30","Production: Procedure","Production Document","Huang Niam Cheong (BE SIN FM ESH), Too Jeremy (BE QM MP SIN QE), Phua Elston (BE SIN TM P)","Mohammad Pervez So Mohommad Haron (BE SIN TE BM)","English","A5D00050901"
"OJTI on Operating Procedures for Digital Packing Line Palletization (DPLP)(Skill Level 2)(TWI)","Z8F46861283","D.5","behw","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-07-16T10:00:00+05:30","2028-07-19T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009420"
"OJTI for Line Maintenance for Digital Packing Line Palletization (DPLP) (Skill Level 4)(TWI)","Z8F46861284","A.4","behw","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-20T10:00:00+05:30","2028-05-30T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00009421"
"OJTI Preventive Maintenance for Digital Packing Line (DPL) (Skill Level 5)(TWI)","Z8F46860981","B.5","behw","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-12-30T11:00:00+05:30","2028-06-19T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00008720"
"OJTI for Despatch Baking Oven. (Skill Level 2)(TWI)","Z8F46861655","G.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-13T10:00:00+05:30","2028-03-06T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050605"
"OJTI On Line Maintenance For KLA Machine. (Skill Level 4)(TWI)","Z8F46860020","R.6","guochang","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-04-07T10:00:00+05:30","2027-12-10T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003567"
"OJTI on Preventive Maintenance of ETM Tray Transfer Machine. (Skill Level 5)","Z8F46860056","D.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-20T10:00:00+05:30","2027-11-17T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003923"
"OJTI for Basic Operation of ETM Tray Transfer Machine. (Skill Level 2)(TWI)","Z8F46859953","G.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-07T10:00:00+05:30","2027-09-10T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00002869"
"OJTI AM for TTM32 Tube Transfer Machine. (Skill Level 4)(TWI)","Z8F46860210","D.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-28T10:00:00+05:30","2028-07-02T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005174"
"OJTI for Basic Operation of TTM32 Tube Transfer Machine. (Skill Level 2)(TWI)","Z8F46860111","D.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-30T10:00:00+05:30","2027-08-18T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00004242"
"OJTI for Line Maintenance of ETM Tray Transfer Machine. (Skill Level 4)(TWI)","Z8F46860004","H.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-12T10:00:00+05:30","2028-05-13T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003438"
"OJTI PM for Despatch Baking Oven.(Skill Level 5)","Z8F46861683","N.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-30T10:00:00+05:30","2028-06-24T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050727"
"OJTI for Operating Procedures on MVH Machine. (Skill Level 2)(TWI)","Z8F46860512","C.5","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-28T11:00:00+05:30","2028-02-13T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006702"
"OJTI for Operating for Vacuum Sealer. (Skill Level 2)(TWI)","Z8F46861664","J.4","guochang","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-11-06T00:22:31+05:30","2027-11-06T00:22:32+05:30","Production: Procedure","Production Document","Too Jeremy (BE QM MP SIN QE),Ker Derick (BE SIN OP P FT T),Huang Niam Cheong (BE FM SIN ESH)","Wong Chee Peng (BE SIN OP APE)","English","A5D00050639"
"OJTI PM for Henkovac Sensor Vacuum Machine.(Skill Level 5)","Z8F46861689","G.5","guochang","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2022-09-08T10:00:00+05:30","2026-09-08T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00050736"
"OJTI on Preventive Maintenance of TTM Tube Transfer Machine. (Skill Level 5)","Z8F46860224","F.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-28T10:00:00+05:30","2028-07-31T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00005282"
"OJTI on Preventive Maintenance for SRM Tape & Reel Machine. (Skill Level 5)","Z8F46859899","U.6","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-06-16T10:00:00+05:30","2028-04-06T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001905"
"OJTI on Operating Procedures for SRM Tape & Reel Machine. (Skill Level 2)(TWI)","Z8F46859884","L.7","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-28T11:00:00+05:30","2028-04-12T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00001711"
"OJTI for LM for ISMECA NY Tape & Reel Machine. (Skill Level 4)(TWI)","Z8F46860689","B.5","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2025-04-03T10:00:00+05:30","2028-01-18T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00007483"
"OJTI for Preventive Maintenance for Peel Force Tester. (Skill Level 5)","Z8F46860583","C.5","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-09-20T10:00:00+05:30","2028-05-19T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006942"
"OJTI on Operating Procedures for ISMECA NY-32 Tape & Reel Machine. (Skill Level 2)(TWI)","Z8F46860495","D.6","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-10-28T11:00:00+05:30","2028-07-27T10:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00006629"
"OJTI for Setup of ETM Tray Transfer Machine. (Skill Level 4)(TWI)","Z8F46859972","D.4","thampeng","Production","Packing","BE","Singapore, Kallang Way","cDtC_BE","2024-08-06T10:00:00+05:30","2027-11-20T11:00:00+05:30","Production: Procedure","Production Document","","","English","A5D00003106"
